Product,Female,Male,Other
"Balcony Level<br />
Back Half<br />
No IMAG<br />
1 hour(s)<br />
Tier 2 Composer<br />
$100",1,1,0
"Middle Level<br />
Back Half<br />
IMAG<br />
2 hour(s)<br />
Tier 2 Composer<br />
$25",9,13,1
"Middle Level<br />
Back Half<br />
No IMAG<br />
1 hour(s)<br />
Tier 2 Composer<br />
$50",1,3,0
"Middle Level<br />
Front Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 1 Composer<br />
$75",5,2,0
"Balcony Level<br />
Back Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 2 Composer<br />
$100",0,2,0
"Floor Level<br />
Back Half<br />
IMAG<br />
2 hour(s)<br />
Tier 1 Composer<br />
$50",12,12,1
"Floor Level<br />
Front Half<br />
IMAG<br />
1 hour(s)<br />
Tier 1 Composer<br />
$75",4,3,0
"Middle Level<br />
Back Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 3 Composer<br />
$75",0,2,0
"Balcony Level<br />
Front Half<br />
No IMAG<br />
1 hour(s)<br />
Tier 3 Composer<br />
$25",4,12,1
"Floor Level<br />
Back Half<br />
IMAG<br />
1 hour(s)<br />
Tier 3 Composer<br />
$75",7,4,0
"Floor Level<br />
Front Half<br />
IMAG<br />
1 hour(s)<br />
Tier 3 Composer<br />
$100",0,1,0
"Floor Level<br />
Front Half<br />
IMAG<br />
1 hour(s)<br />
Tier 3 Composer<br />
$75",5,2,0
"Floor Level<br />
Back Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 1 Composer<br />
$100",5,4,0
"Middle Level<br />
Back Half<br />
IMAG<br />
1 hour(s)<br />
Tier 3 Composer<br />
$100",1,0,0
"Middle Level<br />
Front Half<br />
IMAG<br />
1 hour(s)<br />
Tier 1 Composer<br />
$100",1,5,1
"Middle Level<br />
Front Half<br />
IMAG<br />
2 hour(s)<br />
Tier 2 Composer<br />
$75",8,11,0
"Floor Level<br />
Back Half<br />
IMAG<br />
1 hour(s)<br />
Tier 2 Composer<br />
$50",5,9,1
"Floor Level<br />
Front Half<br />
No IMAG<br />
1 hour(s)<br />
Tier 1 Composer<br />
$100",2,2,0
"Middle Level<br />
Back Half<br />
IMAG<br />
2 hour(s)<br />
Tier 3 Composer<br />
$50",6,7,0
"Middle Level<br />
Front Half<br />
No IMAG<br />
1 hour(s)<br />
Tier 2 Composer<br />
$100",2,1,0
"Balcony Level<br />
Back Half<br />
No IMAG<br />
1 hour(s)<br />
Tier 2 Composer<br />
$75",0,2,0
"Balcony Level<br />
Front Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 3 Composer<br />
$25",4,7,0
"Floor Level<br />
Back Half<br />
IMAG<br />
1 hour(s)<br />
Tier 1 Composer<br />
$50",10,9,1
"Middle Level<br />
Front Half<br />
No IMAG<br />
1 hour(s)<br />
Tier 2 Composer<br />
$50",1,1,0
"Balcony Level<br />
Back Half<br />
IMAG<br />
2 hour(s)<br />
Tier 1 Composer<br />
$50",6,7,1
"Middle Level<br />
Back Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 3 Composer<br />
$25",1,0,0
"Middle Level<br />
Front Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 2 Composer<br />
$75",4,2,0
"Middle Level<br />
Front Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 3 Composer<br />
$25",4,10,0
"Balcony Level<br />
Back Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 3 Composer<br />
$25",2,6,0
"Balcony Level<br />
Front Half<br />
No IMAG<br />
2 hour(s)<br />
Tier 3 Composer<br />
$100",0,3,0
"Floor Level<br />
Back Half<br />
IMAG<br />
1 hour(s)<br />
Tier 2 Composer<br />
$50",8,6,1
"Floor Level<br />
Front Half<br />
IMAG<br />
2 hour(s)<br />
Tier 1 Composer<br />
$75",5,4,0
